aa,aa,aaa 0.974
cont,contents,conti 1.000
cont,contents,contingent 1.000
cont,contents,contrary 1.000
cont,contingent,contingents 0.999
contact,contact,contacts 1.000
contain,contain,contained 0.998
contain,contain,container 0.999
contain,contain,containers 0.999
contain,contain,containing 0.998
contain,contain,contains 0.993
contain,contained,containing 0.997
contain,contained,containment 0.998
contain,contained,contains 0.999
contain,container,containers 0.981
contain,containing,contains 0.996
contamin,contaminant,contaminated 0.983
contamin,contaminants,contamination 0.988
contamin,contaminated,contamination 0.991
contest,contest,contestant 0.998
contest,contest,contestants 0.998
contest,contest,contested 0.996
contest,contest,contests 0.995
contest,contestant,contestants 0.992
context,context,contexts 0.995
contin,continental,continentals 0.994
continu,continuation,continue 1.000
continu,continuation,continuity 0.999
continu,continuation,continuous 0.998
continu,continue,continued 0.999
continu,continue,continues 0.999
continu,continue,continuing 0.999
continu,continued,continues 0.999
continu,continued,continuing 1.000
continu,continued,continuous 0.999
continu,continues,continuous 1.000
continu,continuing,continuous 0.999
continu,continuous,continuously 0.998
contraceiv,contraception,contraceptives 0.900
contract,contract,contracted 0.999
contract,contract,contractor 0.999
contract,contract,contracts 0.997
contract,contracted,contractors 0.998
contract,contracted,contracts 0.998
contract,contracting,contractors 0.994
contract,contracting,contracts 0.997
contract,contractions,contracts 0.997
contract,contractor,contractors 0.997
contract,contractor,contracts 0.998
contract,contractors,contracts 0.998
contradict,contradicted,contradiction 0.988
contribut,contribute,contributing 0.998
contribut,contributed,contribution 0.998
contribut,contributed,contributions 0.999
contribut,contributed,contributors 0.999
contribut,contributes,contributor 0.997
contribut,contribution,contributions 0.995
contribut,contribution,contributor 0.999
contribut,contribution,contributors 0.998
contribut,contribution,contributory 0.998
contribut,contributions,contributor 0.998
contribut,contributor,contributors 0.997
control,control,controllability 1.000
control,control,controllable 1.000
control,control,controlled 0.993
control,control,controller 0.998
control,control,controllers 0.999
control,control,controlling 0.998
control,control,controls 0.998
control,controlled,controller 0.998
control,controlled,controllers 0.999
control,controlled,controlling 0.999
control,controlled,controls 0.998
control,controller,controllers 0.986
controversy,controversies,controversy 0.982
conv,conv,convent 0.996
conv,conv,convention 0.999
conv,conv,conventuals 0.970
conv,convened,convention 0.999
conv,convent,conventuals 0.995
conv,convention,conventions 0.993
conv,conventional,conventionally 0.998
convect,convection,convective 0.800
conventic,conventicle,conventicles 0.500
conveny,convenience,conveniently 0.986
converg,convergent,converges 0.960
convers,conversation,conversational 0.995
convert,conversion,convert 0.997
convert,conversion,converted 0.998
convert,conversions,converted 0.999
convert,conversions,converts 0.995
convert,convert,converted 0.999
convert,convert,converters 0.996
convert,convert,converting 0.997
convert,converted,converting 0.999
convert,converters,converting 0.993
convey,convey,conveys 0.994
convict,convicted,conviction 0.979
convict,convicted,convictions 0.995
convict,conviction,convictions 0.991
convint,convinced,convincing 0.995
convoy,convoy,convoys 0.979
conway,conway,conways 0.926
cook,cook,cooking 0.998
cook,cooke,cookes 0.988
cooky,cookie,cookies 0.958
cool,cool,cooler 0.997
cool,coola,cooler 0.987
cool,coolant,cooling 0.990
cool,cooled,cooling 0.981
coolidg,coolidge,coolidges 0.857
coop,cooper,coopers 0.999
coop,cooperation,cooperative 0.996
coordin,coordinate,coordinates 0.999
coordin,coordinating,coordinator 0.996
coordin,coordinator,coordinators 0.990
coordin,coordinator,coordinatorship 0.994
coordin,coordinators,coordinatorship 0.982
cop,cop,copy 0.999
cop,copied,copies 0.999
cop,copied,copy 0.999
cop,copies,copious 0.999
cop,copies,copy 0.998
cop,copies,copying 0.999
cop,copious,copy 0.999
copolym,copolymer,copolymerization 0.750
copolym,copolymer,copolymers 0.750
copolym,copolymerization,copolymers 0.750
coproduc,coproduct,coproducts 0.500
copyright,copyright,copyrighted 0.970
copyright,copyright,copyrights 1.000
cor,coral,core 0.999
cor,core,cores 0.999
corbet,corbett,corbetts 0.875
cordero,cordero,corderos 0.750
corm,corman,cormans 0.968
corm,cormorant,cormorants 0.971
corn,corner,corners 0.999
cornel,cornell,cornellians 0.995
cornwal,cornwall,cornwallis 0.987
cornwal,cornwall,cornwalls 0.986
coron,coroner,coronial 0.944
corp,corp,corporations 0.998
corp,corp,corps 0.999
corp,corporacy,corporacys 0.962
corp,corporate,corporates 0.999
corp,corporate,corporation 0.999
corp,corporate,corporations 0.999
corp,corporates,corporation 1.000
corp,corporation,corporations 0.998
corpusc,corpuscle,corpuscles 0.750
correct,correct,correctly 0.999
correct,corrected,corrects 0.992
correct,correction,corrections 0.994
correct,correctional,corrective 0.987
correspond,correspond,corresponded 0.995
correspond,corresponding,corresponds 0.996
corrupt,corrupt,corruption 0.995
cors,corse,corser 0.917
corymb,corymb,corymbs 0.500
cosmet,cosmetic,cosmetics 0.964
cosmo,cosmo,cosmos 0.944
cosmolog,cosmological,cosmology 0.909
cost,cost,costing 0.998
cost,cost,costly 0.998
cost,cost,costs 0.993
costello,costello,costellos 0.889
costum,costume,costumes 0.984
cot,coticed,cotised 0.955
cot,coticed,cotises 0.955
cot,cotised,cotises 0.955
cotery,coterie,coteries 0.500
couch,couch,couchs 0.976
coulomb,coulomb,coulombic 0.833
coult,coulter,coulters 0.875
council,council,councillor 0.998
council,council,councillors 0.996
council,council,councilor 0.999
council,council,councilors 0.999
council,council,councils 0.994
council,councillor,councillors 0.992
council,councilors,councils 0.993
councilmemb,councilmember,councilmembers 0.750
counsel,counsel,counsels 0.995
count,count,counted 0.999
count,count,counter 0.999
count,count,counters 0.999
count,count,counting 0.994
count,count,counts 0.996
count,counted,counting 0.999
count,counted,counts 0.999
count,counter,counters 0.999
count,counter,counting 0.999
counterfeit,counterfeit,counterfeiters 0.938
country,countries,country 0.991
country,countries,countrys 0.995
country,country,countrys 0.996
county,counties,county 0.949
county,county,countys 0.995
coupl,couple,couples 0.997
coupl,coupled,coupler 0.994
coupl,coupled,coupling 0.995
courbet,courbet,courbets 0.500
couron,couronia,couronian 0.750
cours,course,courses 0.994
cours,courser,coursers 0.875
court,court,courtly 0.999
court,court,courts 0.991
courth,courthouse,courthouses 0.909
courtney,courtney,courtneys 0.933
coury,courier,couriers 0.917
cousin,cousin,cousins 0.988
cov,covenant,covenants 0.995
cov,cover,coverage 0.999
cov,cover,covered 0.998
cov,cover,covering 0.999
cov,cover,covers 0.999
cov,coverage,covered 0.999
cov,coverage,covering 0.999
cov,coverage,covers 1.000
cov,covered,covering 0.999
cov,covered,covers 0.999
cov,covering,covers 1.000
cowboy,cowboy,cowboys 0.974
cowsil,cowsill,cowsills 0.750
coyot,coyote,coyotes 0.933
cpa,cpa,cpas 0.750
crab,crab,crabs 0.968
craft,craft,crafts 0.995
crain,crain,crains 0.667
cran,crane,cranes 0.988
cranston,cranston,cranstons 0.857
crash,crash,crashed 0.989
crash,crash,crashes 0.990
crash,crash,crashing 0.996
crat,crater,craters 0.955
crawford,crawford,crawfords 0.981
cray,cray,crays 0.857
crayon,crayon,crayons 0.889
cre,create,created 0.999
cre,create,creates 0.999
cre,create,creating 0.999
cre,create,creation 0.999
cre,create,creative 1.000
cre,create,creativity 1.000
cre,create,creator 0.999
cre,create,creators 1.000
cre,create,creatures 1.000
cre,created,creates 1.000
cre,created,creating 0.999
cre,created,creation 0.999
cre,created,creations 1.000
cre,created,creative 1.000
cre,created,creator 1.000
cre,created,creators 1.000
cre,created,creature 1.000
cre,created,creatures 1.000
cre,creates,creating 0.999
cre,creates,creature 0.999
cre,creates,creatures 0.999
cre,creating,creation 1.000
cre,creating,creative 0.999
cre,creating,creatures 1.000
cre,creation,creationist 1.000
cre,creation,creationists 1.000
cre,creation,creations 0.999
cre,creation,creator 0.999
cre,creation,creature 1.000
cre,creation,creatures 0.999
cre,creationism,creationisms 0.992
cre,creationism,creationist 0.993
cre,creationisms,creationist 0.984
cre,creationist,creationists 0.984
cre,creations,creature 0.999
cre,creations,creatures 0.999
cre,creative,creativity 0.999
cre,creative,creator 0.998
cre,creative,creators 0.999
cre,creator,creators 0.998
cre,creator,creature 1.000
cre,creature,creatures 0.994
cre,cree,crees 0.995
cred,credential,credentials 0.989
credit,credit,credited 0.999
credit,credit,credits 0.994
credit,credited,credits 0.998
creek,creek,creeks 0.993
creg,cregan,cregans 0.500
crel,crellan,crellans 0.500
crem,cremated,cremation 0.969
cremast,cremaster,cremasteric 0.600
creol,creole,creoles 0.970
crest,crest,crested 0.991
crest,crest,crests 0.972
crew,crew,crewed 0.997
crew,crew,crews 0.991
crew,crewed,crews 0.984
cri,cri,cris 0.975
cricket,cricket,cricketer 0.967
cricket,cricket,cricketers 0.961
cricket,cricket,cricketing 0.994
cricket,cricketer,cricketers 0.977
cricket,cricketers,crickettragic 0.995
crim,crime,crimes 0.984
crimin,criminal,criminalization 0.997
crimin,criminal,criminals 0.997
cris,crises,crisis 0.997
cris,crisis,crisises 0.997
crit,criterion,critic 0.999
crit,critic,critical 0.999
crit,critic,criticism 0.999
crit,critic,criticisms 0.999
crit,critic,criticize 0.999
crit,critic,critics 0.998
crit,critical,critically 1.000
crit,critical,criticism 0.999
crit,critical,criticisms 1.000
crit,critical,criticized 0.999
crit,critical,critics 0.999
crit,critical,critique 0.999
crit,criticised,criticism 1.000
crit,criticised,criticisms 0.999
crit,criticised,critics 1.000
crit,criticising,criticism 0.999
crit,criticism,criticisms 0.998
crit,criticism,criticize 0.999
crit,criticism,criticized 0.999
crit,criticism,critics 0.998
crit,criticism,critiques 0.999
crit,criticisms,criticize 0.999
crit,criticisms,criticized 0.999
crit,criticisms,critics 0.999
crit,criticize,criticized 0.999
crit,criticize,criticizes 0.997
crit,criticize,critics 1.000
crit,criticized,criticizes 0.999
crit,criticized,critics 0.999
crit,criticizes,critics 0.999
crit,critiqued,critiquing 0.989
cro,croat,croatian 0.992
cro,croat,croats 0.991
cro,croatian,croatians 0.994
cro,croatian,croats 0.991
crochet,crochet,crocheted 0.833
crock,crocker,crockers 0.857
crop,crop,crops 0.995
crop,cropping,crops 0.989
crosby,crosby,crosbys 0.974
cross,cross,crossed 1.000
cross,cross,crosses 0.999
cross,cross,crossing 0.997
cross,cross,crossings 0.999
cross,crossed,crosses 0.998
cross,crossed,crossing 0.997
cross,crossed,crossings 0.995
cross,crosses,crossing 0.994
cross,crosses,crossings 0.997
cross,crossing,crossings 0.995
crossg,crossgen,crossgens 0.750
crossopteryg,crossopterygian,crossopterygians 0.500
crossov,crossover,crossovers 0.955
crow,crow,crows 0.993
crowd,crowd,crowds 0.990
crowl,crowler,crowlers 0.500
crowley,crowley,crowleys 0.929
crown,crown,crowned 0.998
crown,crown,crowns 0.995
cru,cruise,cruised 0.997
cru,cruise,cruiser 0.998
cru,cruise,cruisers 0.997
cru,cruise,cruises 0.992
cru,cruise,cruising 0.994
cru,cruised,cruising 0.988
cru,cruiser,cruisers 0.979
cru,cruiser,cruises 0.995
cru,cruisers,cruises 0.992
cru,cruises,cruising 0.992
crusad,crusade,crusades 0.994
crusad,crusader,crusades 0.987
cruz,cruz,cruzi 0.989
crypt,crypt,cryptic 0.992
crypt,crypt,crypts 0.979
cryptid,cryptid,cryptids 0.750
cryptograph,cryptographic,cryptography 0.846
cryptosystem,cryptosystem,cryptosystems 0.500
cryptozoolog,cryptozoologist,cryptozoology 0.900
cryptozoolog,cryptozoologists,cryptozoology 0.875
cryst,crystal,crystals 0.953
crystal,crystallization,crystallized 0.944
crystallin,crystalline,crystallinity 0.944
crystallograph,crystallograph,crystallographic 0.889
csi,csi,csis 0.909
csiro,csiro,csiros 0.750
cub,cub,cuba 0.999
cub,cuba,cuban 0.992
cuckoo,cuckoo,cuckoos 0.800
cuento,cuento,cuentos 0.500
cul,cule,cules 0.938
culhwch,culhwch,culhwchs 0.500
cult,cult,cultivatable 0.999
cult,cult,cults 0.999
cult,cult,cultural 1.000
cult,cult,culture 1.000
cult,cult,cultures 0.999
cult,cultivatable,culture 1.000
cult,cultivated,culture 1.000
cult,cultivated,cultured 0.998
cult,cultivated,culturing 0.997
cult,cultivating,cultural 1.000
cult,cultural,culture 0.997
cult,cultural,cultures 0.998
cult,culture,cultured 1.000
cult,culture,cultures 0.999
cumbr,cumbria,cumbrian 0.933
cup,cup,cupen 0.999
cup,cup,cupping 0.999
cup,cup,cups 0.988
cur,cur,cura 0.990
cur,curate,current 1.000
cur,curate,currently 1.000
cur,curator,current 1.000
cur,curator,currently 1.000
cur,curators,current 1.000
cur,cure,cured 0.999
cur,curia,current 1.000
cur,currencies,currency 0.997
cur,currencies,current 1.000
cur,currency,current 1.000
cur,current,currently 0.998
cur,current,currents 1.000
curl,curled,curling 0.964
curl,curler,curling 0.964
curl,curlers,curling 0.964
curlew,curlew,curlews 0.833
curry,curry,currying 0.986
curry,curry,currys 0.986
curry,currying,currys 0.900
curs,curse,curses 0.989
curv,curve,curved 0.990
curv,curve,curves 0.994
curv,curved,curves 0.993
cust,custer,custers 0.970
custom,custom,customarily 0.999
custom,custom,customary 0.999
custom,custom,customs 0.998
custom,customer,customers 0.991
custom,customization,customizing 0.983
cut,cut,cuts 0.998
cut,cut,cutter 0.999
cut,cut,cutters 0.999
cut,cut,cutting 0.998
cut,cut,cuttings 0.999
cut,cutter,cutters 0.993
cut,cutter,cutting 0.998
cut,cutting,cuttings 0.998
cuv,cuv,cuvs 0.500
cybertron,cybertron,cybertronian 0.667
cyc,cycle,cycles 0.995
cyc,cycle,cyclic 0.998
cyc,cycle,cycling 0.998
cyc,cycle,cyclists 0.999
cyc,cycles,cyclic 0.992
cyc,cycles,cyclical 0.994
cyc,cyclic,cyclical 0.993
cyc,cycling,cyclist 0.991
cyc,cycling,cyclists 0.978
cyc,cyclist,cyclists 0.994
cyclon,cyclone,cyclones 0.952
cylind,cylinder,cylinders 0.957
cymb,cymbal,cymbals 0.952
cymb,cymbalist,cymbalists 0.833
cypriot,cypriot,cypriots 0.800
cyst,cyst,cystic 0.944
cyst,cyst,cysts 0.875
cyst,cystic,cysts 0.929
cytokin,cytokine,cytokines 0.833
cytoplasm,cytoplasm,cytoplasmic 0.846
czechoslovak,czechoslovak,czechoslovakia 0.932
czechoslovak,czechoslovak,czechoslovakian 0.955
czechoslovak,czechoslovakia,czechoslovakian 0.972
dac,dac,dacs 0.889
dad,dad,dads 0.983
dahl,dahl,dahli 0.975
dain,daine,daines 0.875
dairy,dairies,dairy 0.975
daisy,daisies,daisy 0.955
dal,dale,dales 0.999
dal,dali,dalian 0.994
dalek,dalek,daleks 0.833
dalrympl,dalrymple,dalrymples 0.667
daltrey,daltrey,daltreys 0.500
dam,dam,dams 0.995
dam,damage,damaged 0.997
dam,damage,damages 0.998
dam,damage,damaging 0.999
dam,damaged,damages 0.999
dam,damages,damaging 0.998
dam,damaging,dams 0.998
dam,dammed,damming 0.993
dam,dammed,dams 0.997
dam,damming,dams 0.998
damon,damon,damons 0.967
damy,damien,damiens 0.955
dan,dan,dans 0.999
dan,dane,danes 0.998
dan,dane,danish 0.998
dan,danes,danish 0.996
dan,danes,danus 0.994
dang,danger,dangerous 0.999
daniel,daniel,daniell 0.999
danijel,danijel,danijela 0.750
danny,danny,dannys 0.978
dant,dance,danced 0.999
dant,dance,dancer 0.997
dant,dance,dancers 0.998
dant,dance,dances 0.997
dant,dance,dancing 0.997
dant,dancer,dances 0.998
dant,dancer,dancing 0.999
dant,dancers,dancing 0.996
dant,dances,dancing 0.998
danzig,danzig,danzigs 0.875
dao,dao,daoism 0.933
dark,dark,darker 0.999
dark,dark,darkness 0.997
dark,darke,darkness 0.997
dark,darkly,darkness 0.994
darl,darling,darlings 0.981
dartmo,dartmoor,dartmoors 0.500
darwin,darwin,darwinian 0.993
darwin,darwin,darwinism 0.993
darwin,darwin,darwins 0.988
darwin,darwinian,darwinism 0.917
darwin,darwinism,darwinists 0.917
darwin,darwinism,darwins 0.972
darwin,darwinists,darwins 0.972
dat,data,date 1.000
dat,data,dated 1.000
dat,date,dated 0.999
dat,date,dates 0.997
dat,date,dating 0.999
dat,dated,dates 0.997
dat,dated,dating 0.998
dat,dated,datter 0.998
dat,dates,dating 0.997
databas,database,databases 0.990
daught,daughter,daughters 0.967
daur,daur,daurian 0.917
dav,dave,daves 0.999
dav,dave,davis 0.998
david,david,davidals 1.000
david,david,davide 1.000
david,david,davids 0.999
david,davidi,davids 0.987
davy,davie,davies 0.994
dawson,dawson,dawsons 0.979
day,day,days 0.988
day,dayan,days 0.999
daytim,daytime,daytimes 0.955
dea,dea,death 0.998
deact,deactivate,deactivated 0.970
deact,deactivated,deactivating 0.958
deal,deal,dealer 0.999
deal,deal,dealers 0.999
deal,deal,dealership 0.999
deal,deal,dealerships 0.999
deal,deal,deals 0.998
deal,dealer,dealers 0.993
deal,dealer,dealership 0.990
deal,dealer,dealerships 0.990
deal,dealer,dealing 0.998
deal,dealer,deals 0.994
deal,dealers,dealership 0.991
deal,dealers,deals 0.997
deal,dealership,dealerships 0.971
deal,dealing,deals 0.997
dean,dean,deans 0.994
deanery,deaneries,deanery 0.857
deb,debate,debated 0.999
deb,debate,debates 0.997
deb,debate,debating 0.999
deb,debate,debs 0.999
deb,debated,debates 0.997
debt,debt,debtor 0.991
debt,debt,debts 0.984
debt,debtor,debtors 0.952
debt,debtor,debts 0.976
debut,debut,debuted 0.998
debut,debut,debuts 0.999
debut,debuted,debuting 0.992
dec,dec,decorations 1.000
dec,decator,decatur 0.998
dec,decorate,decorated 0.999
dec,decorate,decorating 0.997
dec,decorate,decoration 0.999
dec,decorate,decorations 0.999
dec,decorated,decoration 0.997
dec,decorated,decorations 0.999
dec,decorated,decorative 0.999
dec,decorating,decorations 0.999
dec,decoration,decorations 0.999
dec,decoration,decorative 0.997
dec,decorations,decorative 0.999
decad,decade,decades 0.997
decahedron,decahedron,decahedrons 0.500
decay,decay,decayed 0.980
decc,decca,deccan 0.857
deceiv,deceive,deceived 0.986
decepticon,decepticon,decepticons 0.750
decid,decide,decided 0.998
decid,decide,decides 0.997
decid,decided,deciding 0.999
decid,decided,decision 0.998
decid,decides,decision 0.998
decid,decision,decisions 0.995
deck,deck,decker 0.994
deck,deck,decks 0.993
decl,declaration,declarations 0.998
decl,declaration,declared 0.998
decl,declaration,declaring 0.998
decl,declarations,declared 0.999
decl,declared,declaring 0.998
declin,decline,declined 0.995
declin,decline,declining 0.994
decommit,decommission,decommissioned 0.989
decommit,decommissioned,decommissioning 0.990
decommit,decommissioned,decommissionings 0.988
decomposit,decomposition,decompositions 0.900
deconstruct,deconstruction,deconstructionists 0.667
decreas,decrease,decreased 0.980
decreas,decrease,decreases 0.990
decrypt,decrypters,decryptions 0.875
deduc,deduce,deducibility 0.929
deduc,deduce,deduct 0.929
deduc,deduce,deduction 0.980
deduc,deducibility,deduct 0.929
deduc,deducibility,deduction 0.980
deduc,deduct,deduction 0.980
deeley,deeley,deeleys 0.667
deep,deep,deeper 0.999
def,defeat,defeated 0.997
def,defeat,defeating 0.998
def,defeat,defeats 0.997
def,defeat,defences 0.999
def,defeated,defeating 0.997
def,defeated,defeats 1.000
def,defeater,defeaters 0.964
def,defeating,defeats 0.999
def,defence,defences 0.997
default,default,defaultenc 0.988
defect,defect,defected 0.992
defect,defect,defection 0.975
defect,defect,defective 0.988
defect,defect,defector 0.979
defect,defected,defection 0.991
defect,defected,defector 0.992
defencem,defenceman,defencemen 0.727
defend,defend,defended 0.998
defend,defend,defenders 0.999
defend,defend,defensive 0.999
defend,defended,defending 0.999
defend,defender,defenders 0.991
defend,defender,defending 0.998
defend,defender,defensive 0.998
defend,defenders,defending 0.998
defend,defenders,defensive 0.999
defend,defensive,defensives 0.998
defens,defense,defenses 0.998
defensem,defenseman,defensemen 0.857
deficy,deficiencies,deficiency 0.967
deficy,deficiency,deficient 0.982
defil,defile,defiles 0.750
defin,define,defined 0.993
defin,define,defines 0.997
defin,define,defining 0.997
defin,defined,defines 0.994
defin,defined,defining 0.995
defin,defines,defining 0.996
definit,definite,definitions 0.997
definit,definition,definitions 0.994
definit,definition,definitive 0.999
deg,degeneracy,degenerate 0.984
deg,degeneration,degenerative 0.992
degr,degree,degrees 0.952
degrad,degradation,degradations 0.977
degrad,degradation,degrades 0.977
degrad,degradations,degrades 0.875
deimon,deimon,deimons 0.500
deity,deities,deity 0.943
del,del,delle 0.999
del,del,dels 1.000
del,deliver,delivered 0.999
del,delivered,delivers 1.000
del,dell,dellinger 0.998
delamot,delamotte,delamottes 0.500
delaw,delaware,delawares 0.975
delay,delay,delayed 0.993
delay,delay,delaying 0.985
delay,delay,delays 0.984
delay,delayed,delays 0.994
deleg,delegate,delegates 0.996
deleg,delegate,delegation 0.991
deleg,delegates,delegations 0.994
deleg,delegation,delegations 0.993
delet,deleted,deletion 0.990
delight,delight,delighted 0.985
delivery,deliveries,delivery 0.957
delphin,delphine,delphinus 0.667
dem,demi,demme 0.994
demand,demanded,demands 0.995
demin,demineralization,demineralize 0.900
demo,demo,demos 0.977
democr,democracy,democrat 0.999
democr,democracy,democratic 0.986
democr,democracy,democrats 0.988
democr,democrat,democratic 0.986
democr,democrat,democrats 0.990
democr,democratic,democrats 0.987
demod,demodulating,demodulator 0.500
demograph,demographic,demographics 0.980
demograph,demographic,demography 0.978
demon,demon,demonic 0.993
demon,demon,demons 0.990
demon,demonic,demons 0.994
demonst,demonstrating,demonstrative 0.990
demot,demoted,demotion 0.952
den,den,dennis 0.999
den,den,dens 0.998
den,denial,denials 0.997
den,denis,denning 0.999
den,dennis,dens 0.999
denham,denham,denhams 0.750
denmark,denmark,denmarks 0.973
denomin,denominated,denominations 0.990
denomin,denomination,denominations 0.995
denomin,denominational,denominationalism 0.958
denomin,denominationalism,denominations 0.990
denot,denote,denotes 0.991
denount,denounce,denounced 0.985
dens,dense,density 0.999
dens,densely,density 0.999
dens,densities,density 0.999
densham,densham,denshams 0.500
dent,dent,dental 0.997
dent,dent,dents 0.994
dent,dental,dentist 0.992
dent,dental,dentistry 0.986
dent,dental,dentists 0.996
dent,dentist,dentistry 0.987
dent,dentistry,dentists 0.993
dentin,dentin,dentinal 0.750
denton,denton,dentons 0.889
deny,denied,deny 0.997
deny,denied,denying 0.996
deny,denies,deny 0.988
depart,departed,departing 0.995
depart,departed,departure 0.997
depart,department,departmental 0.999
depart,department,departments 0.997
depart,department,departure 1.000
depart,departure,departures 0.998
depend,depend,depends 0.998
depend,dependant,dependants 0.977
depend,dependant,dependency 0.990
depict,depicted,depicting 0.995
depict,depicting,depicts 0.996
depict,depiction,depictions 0.994
depict,depictions,depicts 0.995
deplet,depleted,depletion 0.958
deploy,deploy,deployed 0.996
deploy,deployable,deployment 0.993
deploy,deployed,deployment 0.980
deploy,deployed,deployments 0.996
deploy,deploying,deployment 0.994
deploy,deployment,deployments 0.995
deport,deport,deportation 0.980
deport,deportation,deported 0.988
deposit,deposit,depositor 0.991
deposit,deposit,depositors 0.991
deposit,deposit,deposits 0.996
deposit,deposited,depositor 0.990
deposit,depositor,depositors 0.938
deposit,depositor,deposits 0.993
deposit,depositors,deposits 0.993
depot,depot,depots 0.974
depr,deprivation,deprived 0.967
depress,depression,depressions 0.997
deputy,deputies,deputy 0.988
der,derisory,derives 0.998
der,derivation,derivations 0.990
der,derivation,derivatives 0.997
der,derivation,derive 0.997
der,derivation,derived 0.999
der,derivatives,derived 0.999
der,derive,derived 0.999
der,derive,derives 0.995
derv,dervish,dervishes 0.889
descend,descendant,descendants 0.995
descend,descendant,descended 0.995
descend,descendants,descended 0.994
describ,describe,described 0.997
describ,describe,describes 0.997
describ,describe,describing 0.992
describ,describe,description 0.999
describ,described,describes 0.998
describ,described,describing 0.998
describ,described,description 1.000
describ,described,descriptions 0.999
describ,describes,describing 0.995
describ,describes,description 0.998
describ,describes,descriptions 0.998
describ,describing,description 0.999
describ,describing,descriptive 0.997
describ,description,descriptions 0.998
desert,desert,deserti 0.998
desert,desert,desertification 0.998
desert,desert,deserts 0.998
desert,deserted,deserter 0.990
desert,deserting,desertion 0.969
design,design,designated 0.998
design,design,designation 1.000
design,design,designed 0.993
design,design,designer 0.997
design,design,designers 0.998
design,design,designing 0.998
design,design,designs 0.996
design,designate,designates 0.995
design,designated,designates 0.999
design,designated,designation 0.999
design,designated,designations 0.999
design,designated,designed 0.999
design,designated,designer 1.000
design,designated,designers 0.999
design,designating,designation 0.999
design,designation,designations 0.979
design,designation,designed 1.000
design,designations,designs 0.999
design,designed,designer 0.998
design,designed,designers 0.999
design,designed,designing 0.999
design,designed,designs 0.998
design,designer,designers 0.998
design,designer,designing 0.998
design,designer,designs 0.998
design,designers,designs 0.998
design,designing,designs 0.996
desir,desirable,desire 0.998
desir,desire,desires 0.998
desir,desire,desirous 0.998
desktop,desktop,desktops 0.923
desmond,desmond,desmonds 0.950
dess,dessous,dessus 0.917
destin,destination,destinations 0.985
destiny,destiny,destinys 0.968
destroy,destroy,destroyed 0.992
destroy,destroy,destroying 0.997
destroy,destroyed,destroyer 0.999
destroy,destroyed,destroyers 0.998
destroy,destroyed,destroying 0.999
destroy,destroyed,destroys 0.996
destroy,destroyer,destroyers 0.955
destroy,destroyer,destroying 0.995
destroy,destroyers,destroying 0.994
destruct,destruction,destructor 0.997
destruct,destructor,destructors 0.875
detail,detail,detailing 0.996
detail,detail,details 0.999
detail,detailed,detailing 0.996
detail,detailed,details 0.999
detect,detect,detected 0.997
detect,detect,detection 0.995
detect,detectability,detectable 0.983
detect,detectable,detected 0.995
detect,detectable,detection 0.996
detect,detectable,detects 0.988
detect,detected,detecting 0.996
detect,detected,detection 0.997
detect,detecting,detection 0.997
detect,detection,detector 0.997
detect,detection,detects 0.996
detect,detective,detectives 0.993
detect,detector,detectors 0.988
determin,determinacy,determination 0.997
determin,determination,determined 0.999
determin,determine,determined 0.997
determin,determine,determines 0.999
determin,determine,determining 0.999
determin,determined,determining 0.999
detery,deteriorate,deterioration 0.982
detery,deteriorates,deterioration 0.979
deton,detonate,detonating 0.967
deton,detonated,detonating 0.979
detroit,detroit,detroiter 0.993
detroit,detroit,detroits 0.993
deutsch,deutsch,deutsche 0.999
deutsch,deutsche,deutschen 0.990
dev,dev,devs 0.992
dev,deva,devi 0.994
dev,device,devices 0.994
dev,devore,devores 0.998
devalu,devaluation,devalue 0.750
devalu,devaluation,devalued 0.833
devalu,devalue,devalued 0.833
develop,develop,developed 0.999
develop,develop,developer 0.999
develop,develop,developers 0.999
develop,develop,developing 0.996
develop,develop,development 0.996
develop,develop,developmental 0.999
develop,develop,developments 0.999
develop,develop,develops 0.997
develop,developed,developer 0.999
develop,developed,developers 0.998
develop,developed,developing 0.999
develop,developed,development 0.995
develop,developed,developmentally 1.000
develop,developed,developments 0.999
develop,developed,develops 0.999
develop,developer,developers 0.997
develop,developer,development 0.998
develop,developers,development 0.998
develop,developing,development 0.997
develop,developing,developmental 0.999
develop,developing,developments 0.998
develop,development,developmental 1.000
develop,development,developments 0.998
develop,development,develops 0.999
devereaux,devereaux,devereauxs 0.500
devil,devil,deville 0.994
devil,devil,devils 0.990
devot,devoted,devoting 0.998
devot,devotee,devotion 0.990
devot,devotees,devotion 0.992
devron,devron,devrons 0.500
devy,deviant,deviants 0.970
devy,deviate,deviation 0.985
devy,deviation,deviations 0.982
dew,dewar,dewars 0.964
deyrol,deyrolle,deyrolles 0.500
dhalloy,dhalloy,dhalloys 0.500
dharm,dharma,dharmic 0.950
diabet,diabetes,diabetic 0.833
diacrit,diacritic,diacritics 0.857
diacrit,diacritical,diacritics 0.917
diagnos,diagnose,diagnosed 0.975
diagnos,diagnosed,diagnosis 0.989
diagon,diagonal,diagonally 0.977
diagon,diagonal,diagonals 0.979
diagram,diagram,diagrams 0.990
diagram,diagramatical,diagrams 0.978
dial,dial,dials 0.983
dialect,dialect,dialectal 0.984
dialect,dialect,dialects 0.970
dialect,dialectal,dialects 0.989
